DEBUG 2025-01-24 12:24:57,534 autoreload File /src/my2a/urls.py first seen with mtime 1729516001.3747642
DEBUG 2025-01-24 12:24:57,535 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/PIL/ImageMode.py first seen with mtime 1729518132.0
DEBUG 2025-01-24 12:24:57,536 autoreload File /usr/local/lib/python3.11/lib-dynload/_sha512.cpython-311-x86_64-linux-gnu.so first seen with mtime 1701232354.0
DEBUG 2025-01-24 12:24:57,537 autoreload File /usr/local/lib/python3.11/importlib/readers.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,538 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/management/base.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,538 autoreload File /usr/local/lib/python3.11/email/mime/text.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,539 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/utils/timezone.py first seen with mtime 1729518145.0
DEBUG 2025-01-24 12:24:57,540 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/dateutil/_common.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,541 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/checks/urls.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,542 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/reverse.py first seen with mtime 1729518143.0
DEBUG 2025-01-24 12:24:57,542 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/urls/__init__.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,543 autoreload File /usr/local/lib/python3.11/lib-dynload/_contextvars.cpython-311-x86_64-linux-gnu.so first seen with mtime 1701232344.0
DEBUG 2025-01-24 12:24:57,544 autoreload File /usr/local/lib/python3.11/base64.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,544 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/utils/dispatch/__init__.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,545 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/dateutil/tz/__init__.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,546 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/urllib3/_request_methods.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,546 autoreload File /usr/local/lib/python3.11/glob.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,547 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/urllib3/util/connection.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,548 autoreload File /usr/local/lib/python3.11/lib-dynload/_sqlite3.cpython-311-x86_64-linux-gnu.so first seen with mtime 1701232359.0
DEBUG 2025-01-24 12:24:57,548 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django_cas_ng/signals.py first seen with mtime 1729518141.0
DEBUG 2025-01-24 12:24:57,549 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/charset_normalizer/api.py first seen with mtime 1729518119.0
